SNAP_DATE,ACC_RANDOM,SAMST_BR_CODE,ID_RANDOM,SAMST_CUST_STAT,SAMST_PASSBOOK_STATUS,SAMST_OD_STAT,SAMST_PB_LOSE_STAT,SAMST_CHOP_LOSE_STAT,SAMST_TXN_STOP_STAT,SAMST_DEAD_STAT,SAMST_COURT_STAT,SAMST_HOLD_STAT,SAMST_WARN_STAT,SAMST_OD_OV_STAT,SAMST_WASH_NOCHK_MARK,SAMST_WASH_DB_OV_FLAG,SAMST_WASH_CR_OV_FLAG,SAMST_FRUIT,SAMST_CRNT_SAVING_STK_FLAG,SAMST_SKL_ATM_USE_FLAG,SAMST_TD_CASH_CR_FLAG,SAMST_VISA_DEBIT_FLAG,SAMST_OPEN_KIND,SAMST_OPEN_DATE,SAMST_MODIF_DATE,SAMST_SAL_TR_DATE,SAMST_L_BUSI_DATE,SAMST_L_AUM_DATE,SAMST_ACC_CHAR_CODE,SAMST_INT_CODE,SAMST_BAL,SAMST_PB_BAL,SAMST_L_DAY_BAL,SAMST_TD_ATM_TRAN_AMT,SAMST_TM_ATM_TRAN_AMT,SAMST_TD_ATM_WDRAW_AMT,SAMST_TD_NON_CON_TFR_AMT,SAMST_TD_CASH_CR_AMT,SAMST_TD_CASH_DB_AMT,SAMST_TD_RT_TXN_CNT,SAMST_TD_RT_TXN_AMT,SAMST_TD_AGBR_DB_AMT,SAMST_VIP_CUST,SAMST_NET_PASSWD_ERR_TIMES,SAMST_NOTICE_KIND,SAMST_CHK_SHEET_CODE,SAMST_PROJECT_CODE,SAMST_Y_MAX_BAL,SAMST_ACCOUNT_PURPOSE
2023-05-15 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-09 00:00:00.0000000,2023-05-09 00:00:00.0000000,01,0,197884.00,197884.00,1405914.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-15 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-09 00:00:00.0000000,2023-05-09 00:00:00.0000000,01,0,197884.00,197884.00,1405914.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-16 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,197884.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,1,32181.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-16 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,197884.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,1,32181.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-17 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-17 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-18 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-18 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-19 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
2023-05-19 00:00:00.0000000,301043,0037,1168288,00,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,  ,2006-03-31 00:00:00.0000000,2007-04-11 00:00:00.0000000,2022-12-20 00:00:00.0000000,2023-05-16 00:00:00.0000000,2023-05-16 00:00:00.0000000,01,0,230065.00,230065.00,197884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,00,0,1,0,    ,6061775.00,  
